x,z
0,0
1.119125,-9.916009
4.420199,-19.333154
9.737148,-27.777664
16.802481,-34.824705
25.260746,-40.119745
34.686416,-43.396396
44.605293,-44.489812
54.518367,-43.344985
63.926924,-40.01951
72.357622,-34.680688
79.386324,-27.597111
84.65942,-19.125148
87.911625,-9.691016
88.979325,0.230662
87.808804,10.140735
84.45895,19.54064
79.098292,27.95747
71.996518,34.967785
63.510913,40.218902
54.068382,43.44664
44.14397,44.488616
34.236962,43.292409
24.845775,39.918199
16.44287,34.53574
9.450988,27.415816
4.221886,18.916628
1.018637,9.465761
